,Concentration,k_on,k_off,surf_ads_dens,diff_coeff,pore_diam,hyd_rad,Max,corr_grad
147,0.0,0.37774,0.66399,0.59693,0.06086,0.43958,0.4352,0.0010212706014932002,2.1860651153300967e-06
198,1.0,0.40731,0.52354,0.40601,0.33468,0.61241,0.36858,0.007282892588313225,-3.116065312918581e-06
79,0.02,0.24781,0.60851,0.57268,0.06929,0.64878,0.45081,0.0035655220244340835,3.4454790371478335e-06
293,0.1,0.52675,0.55478,0.65809,0.3957,0.62216,0.23129,0.0034252784457453867,4.4196640277039905e-06
89,0.02,0.29001,0.70254,0.47088,0.05213,0.39272,0.51186,0.0018880026016494852,8.852746393328133e-06
152,0.0,0.34061,0.62829,0.50799,0.0601,0.4881,0.43393,0.0012719270151809025,4.5629100718959785e-06
357,40.0,0.30043,0.65121,0.54969,0.10483,0.38114,0.50074,0.01338998211091241,6.205380068206258e-07
109,0.2,0.32458,0.58533,0.51692,0.24326,0.86904,0.70126,0.003385405701292747,-6.9874946154964215e-06
216,4.0,0.37102,0.56225,0.46463,0.23868,0.41958,0.44565,0.013534172661870503,2.6411166330301723e-06
281,20.0,0.37555,0.56137,0.41636,0.06933,0.37624,0.44485,0.014559770776153141,1.8571519363965615e-06
40,0.002,0.34954,0.58111,0.56205,0.04108,0.41773,0.27684,0.0017514550549687432,3.638090069527121e-06
253,10.0,0.45112,0.6274,0.46403,0.19476,0.47524,0.65765,0.012433628318584071,7.854440310801262e-07
86,0.02,0.47479,0.50074,0.51156,0.48543,0.44847,0.45284,0.0007153863086065808,-5.728104649574725e-06
363,40.0,0.26084,0.62998,0.56764,0.09378,0.39721,0.39572,0.013238924145235269,-1.8941809507949196e-07
211,4.0,0.35791,0.58721,0.46597,0.26512,0.22503,0.45866,0.0123746130252909,1.2614603008763908e-06
38,0.002,0.44473,0.70493,0.55464,0.04973,0.39541,0.45974,0.0014990619642200596,5.262396089139248e-08
237,10.0,0.38656,0.62118,0.4662,0.15307,0.39145,0.46341,0.015214105144581835,1.8003686063502943e-06
295,0.1,0.29604,0.61432,0.45181,0.11777,0.34498,0.48484,0.003298986311845824,3.7972727191666235e-06
244,10.0,0.33488,0.61173,0.51886,0.16811,0.25962,0.30848,0.01306132944671784,2.450863676104085e-06
13,2.0,0.29173,0.48601,0.51396,0.40245,0.3086,0.35219,0.008940633443410319,-1.8820860217706754e-06
7,2.0,0.43786,0.5589,0.41192,0.38251,0.91597,0.54317,0.00833378332163367,1.4473009978097583e-07
186,1.0,0.35827,0.53227,0.38056,0.21683,0.38914,0.49886,0.007333202279708045,-8.559932570343948e-07
350,40.0,0.25945,0.58276,0.4758,0.03587,0.41727,0.52047,0.01452373359076687,6.410800556368123e-08
